"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
3,93,PAMCCDE,Prior Authorization/Medical Certification Code - Submitted,The type of prior authorization associated with this claim.,"0 or blank = Not Specified
1 = Prior Authorization
2 = Medical Certification
3 = EPSDT (Early Period Screening Diagnosis Treatment)
4 = Exemption from Copay
5 = Exemption from Rx Limits
6 = Family Planning Indicator
7 = AFDC (Aid to Families with Dependent Children)
8 = Payer Defined Exception",A,2,714,715,0,0,461-EU,Prior Authorization Type Code,Code clarifying the ‘Prior Authorization Number Submitted’ (462-EV) or benefit/plan exemption.
1,94,PRAUTHNBR,Member Prior Authorization Number,"A Prior Authorization (PA) number that allows the claim to be paid for this member. This number is either a dynamic Prior Authorization (PA) number generated by Prime, or an existing PA number. This PA number is either created at Prime or auto-loaded in a batch file.  ",V = Prior Authorization/Medical Certification Code and must be left justified in the full field.  The remaining 11 digits must be right justified and contain only zeroes.,A,11,716,726,0,0,498-PY,Prior Authorization Number-Assigned,Unique number identifying the prior authorization assigned by the processor
2,95,PRAUTHRSN,Member Prior Authorization Reason Code,The reason that a prior authorization was required for this claim. ,See the Prior Auth Reasons tab. ,A,2,727,728,0,0,,,
2,96,PRAUTHFDTE,Member Prior Authorization From Date,"The start date of the member's prior authorization. 

Examples:   For a date of May 20, 1998, this field would display  0980520.

For a date of May 20, 2005, this field would display 1050520. ","Format = CYYMMDD
0 = 1900s
1 = 2000s",N,7,729,735,7,0,,,
2,97,PRAUTHTDTE,Member Prior Authorization Through Date,"The end date of the member's prior authorization. 

Examples:   For a date of May 20, 1998, this field would display  0980520.

For a date of May 20, 2005, this field would display 1050520.","Format = CYYMMDD
0 = 1900s
1 = 2000s",N,7,736,742,7,0,,,
1,98,LABELNAME,Drug Label Abbreviation,"The label name of the drug dispensed plus the drug's strength and dosage. This is the abbreviation of PRODNAME field (#99). 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Examples:

SIMVASTATIN  TAB 20MG
LISINOPRIL   TAB 20MG
NORETHIN ACE TAB 5MG   ",A,30,743,772,0,0,,,
1,99,PRODNAME,Drug Name ,"The full drug name of the drug dispensed.   

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Examples:

SIMVASTATIN
LISINOPRIL
NORETHINDRONE ACETATE     ",A,70,773,842,0,0,,,
2,100,DRUGMFGRID,Drug Manufacturer ID,"The identifier of the manufacturer of the drug dispensed.  Value is derived from the Product File.

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",,A,5,843,847,0,0,,,
2,101,DRUGMFGR,Drug Manufacturer Name,"The name of the drug's manufacturer. Value is derived from the Product File.

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",,A,10,848,857,0,0,,,
1,102,GPINUMBER,Generic Product Indicator (GPI) Number,"A high-level classification of drugs into like-therapeutic classes, based on Medi-Span’s 14-digit Generic Product Indicator (GPI). 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","Each successive two-digit subfield of the GPI represents this data: drug group, drug class, drug subclass, drug name, drug name extension, dosage form and strength.

Examples: 
12-xx-xx-xx-xx-xx-xx Drug Group 
12-34-xx-xx-xx-xx-xx Drug Class  
12-34-56-xx-xx-xx-xx Drug Subclass  
12-34-56-78-xx-xx-xx Product Name  
12-34-56-78-90-xx-xx Drug Name Ext  
12-34-56-78-90-12-xx Dosage Form  
12-34-56-78-90-12-34 Strength (Drug Label Name field)",A,14,858,871,0,0,,,
2,103,GENERICNME,Generic Drug Name,"The name of the generic drug, which is commonly the chemical name, e.g., acetaminophen. This field also includes the strength and unit of measure. Value is derived from the Product File.

Notes:  This field displays the chemical name, even if a brand name was prescribed. 

When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",,A,60,872,931,0,0,,,
2,104,PRDPACUOM,Product Package Size  - Unit of Measure (UOM),"The unit of measure used to specify the product's package size.
","EA = Each
GM = Gram
ML = Milliliter",A,2,932,933,0,0,,,
1,105,PRDPACSIZE,Product Package Size,The numeric quantity of the package size of the product. Value is derived from the Product File.,,S,11,934,944,11,3,,,
5,106,DDID,Drug Descriptor Identifier (DDID),The Drug Descriptor Identifer from Medispan. Value is derived from the Product File.,,N,6,945,950,6,0,,,
5,107,GCN,Generic Code Number (GCN),Field is not currently used because it is a First Databank field. Prime uses Medi-Span. ,Contains only zeroes. ,N,5,951,955,5,0,,,
5,108,GCNSEQ,Generic Code Number (GCN) Sequence Number,Field is not currently used because it is a First Databank field. Prime uses Medi-Span. ,Contains only zeroes. ,N,6,956,961,6,0,,,
5,109,KDC,KDC,Field is not currently used because it is a First Databank field. Prime uses Medi-Span. ,Contains only zeroes. ,N,10,962,971,10,0,,,
1,110,AHFS,American Hospital Formulary Service (AHFS) Class Code,"A 6-digit code assigned by the American Hospital Formulary Service (AHFS) that classifies each product into a therapeutic category.  The code indicates the group, class and subclass of the drug. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",See the AHFS Class Codes tab.,A,8,972,979,0,0,,,
3,111,DRUGDEACOD,Drug Enforcement Agency (DEA) Code,"A classification for controlled substances as defined by the Drug Enforcement Agency. DEA numbers are not collected on all pharmacy claims.

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","BLANK = Blank
0 = Not Specified
1 = Class I, High abuse potential, no accepted medical use
2 = Class II, High abuse potential, severe dependence liability
3 = Class III, Moderate dependence liability
4 = Class IV, Limited dependence liability
5 = Class V, Limited abuse potential",A,1,980,980,0,0,,,
1,112,RXOTCIND,Prescription Over the Counter (OTC) Code,"The code that indicates whether the drug requires a prescription or is over-the-counter (OTC) and whether it is single source or multi source. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. 
","O = OTC, Single Source
P = OTC, Multisource
R = Rx, Single Source
S = Rx, Multisource
",A,1,981,981,0,0,,,
1,113,MULTSRCCDE,Multisource Code,"The availability of the drug in generic form. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","M = Multisource brand with no generics available
O = Original brand with generics available
N = Single-source brand with no generics available
Y = Generic drug
Z = O/R Gen Ind; Price as 'N'",A,1,982,982,0,0,,,
2,114,GENINDOVER,Generic Code Override,"The code that indicates the availability of a drug in generic form and is used for override purposes.

The product may have been dispensed as one status - see MULTSRCCDE field (#113) - but it may have been overridden for pricing purposes. Example: Dispense as brand, but priced as generic.  

Notes:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. 

Not all health plans use this type of override.","O = Original brand with generics available
M = Multisource brand with no generics available
N = Single-source brand with no generics available
X = Price as N Report as Y
Y = Generic drug
Z = O/R Gen Ind; Price as 'N'
",A,1,983,983,0,0,,,
2,115,PRDREIMIND,Product Reimbursement Code,"The code used to help differentiate products that are treated as generics by the benefit plan even if it is a brand name drug. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ","1 = Generic/Ther Eq starts A 
2 = Generic/Ther Eq starts B
3 = Generic/Ther Eq NR or NA
4 = Brand/Ther Eq starts A        
5 = Brand/Ther Eq starts B 
6 = Brand/Ther Eq NR or NA",A,1,984,984,0,0,,,
